direction,scale,p_flip_vs_rand,p_false_vs_rand,p_incoh_vs_base,padj_flip_vs_rand,padj_false_vs_rand,padj_incoh_vs_base,moved,coherent,clean_window,flip_rate,k_flip_true,k_parse_gain,false_rate,incoh_rate,mean_d_margin
mag_u_gold,-0.04,1.0,0.753968253968254,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,-0.0036685737499999997
mag_u_gold,-0.02,1.0,0.753968253968254,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,-0.001888506208333333
mag_u_gold,-0.01,1.0,0.753968253968254,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,-0.0009605880416666667
mag_u_gold,0.01,1.0,0.753968253968254,0.49999999999999994,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.1875,0.0009990565
mag_u_gold,0.02,1.0,0.753968253968254,0.49999999999999994,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.1875,0.0020431108333333332
mag_u_gold,0.04,1.0,0.5,0.37498016799877926,1.0,1.0,1.0,False,True,False,0.0,0,0,0.0625,0.21875,0.004292832083333333
mag_u_gold,0.08,1.0,0.5,0.267820311997733,1.0,1.0,1.0,False,True,False,0.0,0,0,0.0625,0.25,0.00963689375
mag_u_gold,0.15,1.0,0.3064012490241998,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.09375,0.15625,0.022713095833333335
mag_u_gold,0.22,1.0,0.17733541504033307,0.7629385355581229,1.0,1.0,1.0,False,True,False,0.0,0,0,0.125,0.125,0.040902512499999995
mag_u_gold,0.3,1.0,0.5,0.49999999999999994,1.0,1.0,1.0,False,True,False,0.0,0,0,0.0625,0.1875,0.062189775
mag_u_gold,0.4,0.4999999999999999,0.8809523809523809,0.7629385355581229,1.0,1.0,1.0,False,True,False,0.041666666666666664,0,1,0.03125,0.125,0.06380258333333333
mag_u_gold,0.52,1.0,0.9019635083819579,0.7629385355581229,1.0,1.0,1.0,False,True,False,0.0,0,0,0.0625,0.125,-0.0009191325416666672
mag_u_gold,0.66,1.0,0.8717406882028634,0.49999999999999994,1.0,1.0,1.0,False,True,False,0.0,0,0,0.09375,0.1875,-0.035511875
mag_u_gold,0.82,1.0,0.8175398674148652,0.267820311997733,1.0,1.0,1.0,False,True,False,0.0,0,0,0.1875,0.25,-0.03758715
mag_u_gold,1.0,1.0,0.8934155824482858,0.07384946620872425,1.0,1.0,1.0,False,True,False,0.0,0,0,0.15625,0.34375,-0.03761716666666667
sup_grad,-1.0,1.0,0.7629385355581229,0.11872453195706154,1.0,1.0,1.0,False,True,False,0.0,0,0,0.125,0.3125,-0.030712645833333333
sup_grad,-0.82,0.05460992907801418,0.8809523809523809,0.267820311997733,1.0,1.0,1.0,False,True,False,0.16666666666666666,0,4,0.03125,0.25,0.008676342583333333
sup_grad,-0.66,1.0,1.0,0.49999999999999994,1.0,1.0,1.0,False,True,False,0.0,0,0,0.0,0.1875,0.04420311666666666
sup_grad,-0.52,1.0,0.753968253968254,0.49999999999999994,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.1875,0.052812483333333334
sup_grad,-0.4,1.0,0.753968253968254,0.7629385355581229,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.125,0.04018855416666667
sup_grad,-0.3,1.0,0.753968253968254,0.49999999999999994,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.1875,0.025478462500000004
sup_grad,-0.22,1.0,0.5,0.49999999999999994,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.1875,0.015008740833333334
sup_grad,-0.15,1.0,0.5,0.37498016799877926,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.21875,0.007960497499999998
sup_grad,-0.08,1.0,0.753968253968254,0.49999999999999994,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.1875,0.003131855416666667
sup_grad,-0.04,1.0,0.753968253968254,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,0.001286482375
sup_grad,-0.02,1.0,0.753968253968254,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,0.000579460375
sup_grad,-0.01,1.0,0.753968253968254,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,0.0002746078875
sup_grad,0.01,1.0,0.753968253968254,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,-0.00024549895416666666
