direction,false_rate,incoh_rate,true_rate,n,arm,abs_mag,signed_mag,prompt_set,rel_mag,layer,h_src_median
jtw_stmt,0.0,0.0,1.0,2,reach_stmt,0.2072552287945922,,STMT_200,0.0013700000000000001,13,151.28118890116218
jtw_stmt,0.0,0.0,1.0,2,reach_stmt,0.3608056355292718,,STMT_200,0.002385,13,151.28118890116218
jtw_stmt,0.25,0.25,0.5,8,reach_stmt,1.0952758076444142,,STMT_200,0.00724,13,151.28118890116218
jtw_stmt,0.25,0.25,0.5,12,reach_stmt,1.9061429801546435,,STMT_200,0.0126,13,151.28118890116218
jtw_stmt,0.03333333333333333,0.16666666666666666,0.8,30,reach_stmt,3.32062209638051,,STMT_200,0.02195,13,151.28118890116218
jtw_stmt,0.06060606060606061,0.09090909090909091,0.8484848484848485,66,reach_stmt,5.786505475469453,,STMT_200,0.03825,13,151.28118890116218
jtw_stmt,0.043209876543209874,0.16049382716049382,0.7962962962962963,162,reach_stmt,10.082891240262459,,STMT_200,0.06665,13,151.28118890116218
jtw_stmt,0.05555555555555555,0.1794871794871795,0.7649572649572649,234,reach_stmt,17.601566328650218,,STMT_200,0.11635,13,151.28118890116218
jtw_stmt,0.04040404040404041,0.13636363636363635,0.8232323232323232,198,reach_stmt,30.634440752485343,,STMT_200,0.2025,13,151.28118890116218
jtw_stmt,0.0945945945945946,0.1891891891891892,0.7162162162162162,74,reach_stmt,53.25097849320908,,STMT_200,0.352,13,151.28118890116218
