vector,layer,rank,feature,coef,cumulative_explained
jtw_mean,13,21,15883,-0.0937866,0.327593
jtw_mean,13,22,3079,-0.0895297,0.334261
jtw_mean,13,23,6495,-0.0779558,0.339824
jtw_mean,13,24,10109,0.0763929,0.345382
jtw_mean,13,25,7122,0.0833412,0.351071
jtw_mean,13,26,15808,-0.0757523,0.356018
jtw_mean,13,27,7625,0.0671731,0.360852
jtw_mean,13,28,11015,-0.0701726,0.365472
jtw_mean,13,29,14627,0.0740705,0.370312
jtw_mean,13,30,8944,-0.0784481,0.375581
jtw_mean,13,31,15319,-0.0708586,0.380569
jtw_stem_mean,13,0,4659,-0.126833,0.0453178
jtw_stem_mean,13,1,10259,-0.146568,0.0779025
jtw_stem_mean,13,2,15319,-0.143888,0.0993503
jtw_stem_mean,13,3,10520,-0.12358,0.121228
jtw_stem_mean,13,4,1626,0.112412,0.142801
jtw_stem_mean,13,5,5712,0.145206,0.166067
jtw_stem_mean,13,6,4341,-0.103768,0.183738
jtw_stem_mean,13,7,5990,0.0889877,0.198945
jtw_stem_mean,13,8,13363,-0.0979743,0.211259
jtw_stem_mean,13,9,1543,0.100688,0.22261
jtw_stem_mean,13,10,15935,-0.0959502,0.232668
jtw_stem_mean,13,11,11256,-0.0912142,0.242397
jtw_stem_mean,13,12,3021,-0.109617,0.252792
jtw_stem_mean,13,13,15409,-0.0925466,0.262241
jtw_stem_mean,13,14,10844,-0.0963314,0.270624
jtw_stem_mean,13,15,14373,0.0937135,0.278947
jtw_stem_mean,13,16,1993,-0.097547,0.286884
jtw_stem_mean,13,17,13015,0.0958906,0.294531
jtw_stem_mean,13,18,3873,-0.0829012,0.301769
jtw_stem_mean,13,19,14502,0.081276,0.308714
jtw_stem_mean,13,20,6525,-0.0885027,0.31587
jtw_stem_mean,13,21,6279,-0.0786711,0.322573
jtw_stem_mean,13,22,3550,0.0753732,0.32881
jtw_stem_mean,13,23,2069,0.0830293,0.33482
jtw_stem_mean,13,24,6264,0.0747078,0.340889
jtw_stem_mean,13,25,10547,0.0805351,0.346806
jtw_stem_mean,13,26,8807,0.0658048,0.352015
jtw_stem_mean,13,27,9434,0.0759509,0.35723
jtw_stem_mean,13,28,11977,-0.0742867,0.362202
jtw_stem_mean,13,29,7377,0.0719424,0.367044
jtw_stem_mean,13,30,2075,-0.0716016,0.371821
jtw_stem_mean,13,31,7249,-0.0695314,0.376618
w_mean_diff_tgt,22,0,11814,-0.193547,0.165363
w_mean_diff_tgt,22,1,1823,0.268856,0.251514
w_mean_diff_tgt,22,2,6378,0.215049,0.301587
w_mean_diff_tgt,22,3,16353,-0.180459,0.341056
w_mean_diff_tgt,22,4,1080,-0.120376,0.371045
w_mean_diff_tgt,22,5,15056,-0.157491,0.39713
w_mean_diff_tgt,22,6,11789,-0.121512,0.416471
w_mean_diff_tgt,22,7,2947,0.0869556,0.435645
w_mean_diff_tgt,22,8,1844,0.0983907,0.453792
w_mean_diff_tgt,22,9,9504,-0.151619,0.472282
w_mean_diff_tgt,22,10,4658,-0.117145,0.486774
w_mean_diff_tgt,22,11,14408,0.117811,0.501038
w_mean_diff_tgt,22,12,1643,0.0966967,0.514362
w_mean_diff_tgt,22,13,3536,-0.102289,0.524963
w_mean_diff_tgt,22,14,14041,0.0962086,0.535336
w_mean_diff_tgt,22,15,2799,0.0935036,0.544753
w_mean_diff_tgt,22,16,7756,0.0816308,0.553014
w_mean_diff_tgt,22,17,9745,-0.0946589,0.561364
w_mean_diff_tgt,22,18,10163,0.118842,0.570326
w_mean_diff_tgt,22,19,2643,0.0841338,0.578175
w_mean_diff_tgt,22,20,11532,-0.0732039,0.585699
w_mean_diff_tgt,22,21,14329,-0.0762878,0.592538
w_mean_diff_tgt,22,22,3099,-0.0877444,0.599094
w_mean_diff_tgt,22,23,15032,-0.08197,0.60594
w_mean_diff_tgt,22,24,7827,0.0911228,0.612086
w_mean_diff_tgt,22,25,332,0.0750437,0.617812
w_mean_diff_tgt,22,26,6193,0.0706328,0.623423
w_mean_diff_tgt,22,27,537,0.0787041,0.628753
w_mean_diff_tgt,22,28,11418,-0.0745843,0.634096
w_mean_diff_tgt,22,29,162,-0.0795901,0.639233
w_mean_diff_tgt,22,30,13100,0.0755394,0.644521
w_mean_diff_tgt,22,31,3593,-0.0709169,0.64921
