direction,scale,n_yesno,k_flip,flip_rate,k_parse_gain,k_flip_true,base_parse_rate,mean_d_margin,sd_d_margin,wilcoxon_p_raw,n_judged,k_false,k_incoh,false_rate,incoh_rate
mag_u_gold,0.82,24,1,0.041666666666666664,1,0,0.0,0.01069696,0.028757834708116006,0.18750131130218506,32,5,5,0.15625,0.15625
mag_u_gold,1.0,24,0,0.0,0,0,0.0,-0.02430945625,0.015740045698049186,1.6689300537109375e-06,32,5,7,0.15625,0.21875
rand_ctrl,-1.0,24,1,0.041666666666666664,1,0,0.0,-0.0037834091666666663,0.02596890069576081,0.3165123462677002,32,3,1,0.09375,0.03125
rand_ctrl,-0.82,24,14,0.5833333333333334,14,0,0.0,0.02510246116666667,0.029469876796846074,0.00023925304412841797,32,1,4,0.03125,0.125
rand_ctrl,-0.66,24,8,0.3333333333333333,8,0,0.0,0.06593839666666666,0.033421279826132605,3.5762786865234375e-07,32,1,3,0.03125,0.09375
rand_ctrl,-0.52,24,7,0.2916666666666667,7,0,0.0,0.08583998833333333,0.031232453871083418,1.1920928955078125e-07,32,1,6,0.03125,0.1875
rand_ctrl,-0.4,24,4,0.16666666666666666,4,0,0.0,0.0770154375,0.022188282431985944,1.1920928955078125e-07,32,1,5,0.03125,0.15625
rand_ctrl,-0.3,24,1,0.041666666666666664,1,0,0.0,0.0524870875,0.014962912627511149,1.1920928955078125e-07,32,2,5,0.0625,0.15625
rand_ctrl,-0.22,24,0,0.0,0,0,0.0,0.0321906,0.010470800158536119,1.1920928955078125e-07,32,2,5,0.0625,0.15625
rand_ctrl,-0.15,24,0,0.0,0,0,0.0,0.018270002083333334,0.006799074124509435,1.1920928955078125e-07,32,2,5,0.0625,0.15625
rand_ctrl,-0.08,24,0,0.0,0,0,0.0,0.008126814583333334,0.003381591637598792,1.1920928955078125e-07,32,1,5,0.03125,0.15625
rand_ctrl,-0.04,24,0,0.0,0,0,0.0,0.0036796345000000004,0.0016123236802623397,1.1920928955078125e-07,32,1,5,0.03125,0.15625
rand_ctrl,-0.02,24,0,0.0,0,0,0.0,0.0017524035,0.0007857363946600611,1.1920928955078125e-07,32,1,5,0.03125,0.15625
rand_ctrl,-0.01,24,0,0.0,0,0,0.0,0.0008552520833333335,0.00038782961884580155,1.1920928955078125e-07,32,1,5,0.03125,0.15625
rand_ctrl,0.01,24,0,0.0,0,0,0.0,-0.0008146368333333333,0.0003771985706901163,1.1920928955078125e-07,32,1,5,0.03125,0.15625
rand_ctrl,0.02,24,0,0.0,0,0,0.0,-0.001590371125,0.0007436620023434158,1.1920928955078125e-07,32,1,6,0.03125,0.1875
rand_ctrl,0.04,24,0,0.0,0,0,0.0,-0.003027892916666667,0.00144433748769308,1.1920928955078125e-07,32,1,6,0.03125,0.1875
rand_ctrl,0.08,24,0,0.0,0,0,0.0,-0.005472100000000001,0.002713581987207251,1.1920928955078125e-07,32,1,6,0.03125,0.1875
rand_ctrl,0.15,24,0,0.0,0,0,0.0,-0.00845657375,0.004519252377120735,1.1920928955078125e-07,32,1,6,0.03125,0.1875
rand_ctrl,0.22,24,0,0.0,0,0,0.0,-0.009859969833333334,0.005868296452750207,1.1920928955078125e-07,32,1,5,0.03125,0.15625
rand_ctrl,0.3,24,0,0.0,0,0,0.0,-0.009270333333333334,0.006972332414415577,8.344650268554688e-07,32,1,6,0.03125,0.1875
rand_ctrl,0.4,24,0,0.0,0,0,0.0,-0.004268495749999999,0.008012058394524577,0.02112710475921631,32,2,6,0.0625,0.1875
rand_ctrl,0.52,24,0,0.0,0,0,0.0,0.008733665125,0.010930620850993198,0.0015796422958374023,32,4,6,0.125,0.1875
rand_ctrl,0.66,24,0,0.0,0,0,0.0,0.026488330416666667,0.02230396743819719,5.960464477539062e-07,32,5,5,0.15625,0.15625
rand_ctrl,0.82,24,3,0.125,3,0,0.0,0.04362535004166668,0.042307741291745596,1.6689300537109375e-06,32,4,5,0.125,0.15625
rand_ctrl,1.0,24,11,0.4583333333333333,11,0,0.0,0.059651555,0.06075668061616936,3.933906555175781e-06,32,3,6,0.09375,0.1875
sup_grad,-1.0,24,7,0.2916666666666667,7,0,0.0,0.15045002916666667,0.1155964435714084,1.1920928955078125e-07,32,10,4,0.3125,0.125
sup_grad,-0.82,24,2,0.08333333333333333,2,0,0.0,0.07709879583333333,0.03817112942285136,1.1920928955078125e-07,32,6,4,0.1875,0.125
sup_grad,-0.66,24,0,0.0,0,0,0.0,0.04912753875,0.024341997184689445,1.1920928955078125e-07,32,2,6,0.0625,0.1875
sup_grad,-0.52,24,0,0.0,0,0,0.0,0.013994887500000002,0.015841345607223726,0.0004298686981201172,32,0,5,0.0,0.15625
sup_grad,-0.4,24,0,0.0,0,0,0.0,-0.0070282462916666675,0.010813829815659114,0.0039006471633911133,32,1,4,0.03125,0.125
