stmt_index,label,eps_star,scale,g_read
956,1,38.5023,-36.847301959990936,25.0355
346,1,22.2185,0.0,42.105
346,1,22.2185,22.21847365396801,58.8197
346,1,22.2185,-22.21847365396801,22.5458
346,1,22.2185,36.847301959990936,58.559
346,1,22.2185,-36.847301959990936,18.8063
502,1,19.2857,0.0,37.6006
502,1,19.2857,19.285690496389925,57.9749
502,1,19.2857,-19.285690496389925,9.44724
502,1,19.2857,36.847301959990936,62.0522
502,1,19.2857,-36.847301959990936,-1.55852
455,1,31.3686,0.0,55.1059
455,1,31.3686,31.36856349735943,76.4632
455,1,31.3686,-31.36856349735943,18.0292
455,1,31.3686,36.847301959990936,76.4393
455,1,31.3686,-36.847301959990936,16.6136
104,1,22.4111,0.0,40.1128
104,1,22.4111,22.41111104817507,55.6109
104,1,22.4111,-22.41111104817507,17.7787
104,1,22.4111,36.847301959990936,57.6252
104,1,22.4111,-36.847301959990936,20.8023
861,1,14.8715,0.0,46.1278
861,1,14.8715,14.871505384799205,68.5546
861,1,14.8715,-14.871505384799205,-4.793
861,1,14.8715,29.74301076959841,71.7357
861,1,14.8715,-29.74301076959841,-4.43269
411,1,21.0128,0.0,44.4828
411,1,21.0128,21.012784867539004,66.1154
411,1,21.0128,-21.012784867539004,10.5543
411,1,21.0128,36.847301959990936,66.757
411,1,21.0128,-36.847301959990936,2.88301
699,1,33.0319,0.0,55.5292
699,1,33.0319,33.031897525753095,76.5797
699,1,33.0319,-33.031897525753095,21.8077
699,1,33.0319,36.847301959990936,76.6699
699,1,33.0319,-36.847301959990936,21.7581
369,1,29.0843,0.0,45.7048
369,1,29.0843,29.084326892588088,67.3639
369,1,29.0843,-29.084326892588088,19.4948
369,1,29.0843,36.847301959990936,69.7266
369,1,29.0843,-36.847301959990936,18.5161
91,1,11.3433,0.0,28.5122
91,1,11.3433,11.343311557355044,46.6261
91,1,11.3433,-11.343311557355044,2.24565
91,1,11.3433,22.686623114710088,52.2374
91,1,11.3433,-22.686623114710088,-10.0625
310,1,44.1666,0.0,60.3957
310,1,44.1666,36.847301959990936,75.9454
310,1,44.1666,-36.847301959990936,25.2096
120,1,27.6257,0.0,49.8815
120,1,27.6257,27.6256656032844,70.0956
120,1,27.6257,-27.6256656032844,27.7828
120,1,27.6257,36.847301959990936,71.1401
120,1,27.6257,-36.847301959990936,26.5449
543,1,3.86696,0.0,15.6243
543,1,3.86696,3.866957330452203,30.3232
543,1,3.86696,-3.866957330452203,2.02353
543,1,3.86696,7.733914660904406,39.921
543,1,3.86696,-7.733914660904406,-4.62808
944,1,19.4751,0.0,43.3345
944,1,19.4751,19.475070666345225,67.8012
944,1,19.4751,-19.475070666345225,11.8488
944,1,19.4751,36.847301959990936,71.9212
944,1,19.4751,-36.847301959990936,-0.326389
0,1,23.679,0.0,46.0279
0,1,23.679,23.67895076999228,65.3196
0,1,23.679,-23.67895076999228,16.5356
0,1,23.679,36.847301959990936,67.9549
0,1,23.679,-36.847301959990936,12.5671
92,1,23.8826,0.0,47.7178
92,1,23.8826,23.882606846574788,65.4919
92,1,23.8826,-23.882606846574788,18.5965
92,1,23.8826,36.847301959990936,67.32
92,1,23.8826,-36.847301959990936,15.9659
355,1,18.7296,0.0,37.0146
355,1,18.7296,18.729646210584065,53.4104
355,1,18.7296,-18.729646210584065,11.5105
355,1,18.7296,36.847301959990936,56.8916
355,1,18.7296,-36.847301959990936,10.6031
959,1,17.554,0.0,43.0932
959,1,17.554,17.553967664521554,57.7759
959,1,17.554,-17.553967664521554,19.7175
959,1,17.554,35.10793532904311,59.9791
959,1,17.554,-35.10793532904311,13.6299
712,1,25.9818,0.0,53.2428
712,1,25.9818,25.981782198809935,69.2693
712,1,25.9818,-25.981782198809935,12.1732
712,1,25.9818,36.847301959990936,68.4661
712,1,25.9818,-36.847301959990936,9.33812
439,1,28.7752,0.0,51.0362
439,1,28.7752,28.775150535259947,74.0072
439,1,28.7752,-28.775150535259947,22.4845
439,1,28.7752,36.847301959990936,74.3762
439,1,28.7752,-36.847301959990936,20.5801
697,1,16.6568,0.0,44.9788
697,1,16.6568,16.656817795102565,60.7694
697,1,16.6568,-16.656817795102565,-3.49506
697,1,16.6568,33.31363559020513,62.6558
697,1,16.6568,-33.31363559020513,-6.8686
278,1,3.72573,0.0,11.9572
278,1,3.72573,3.725727227568982,22.268
278,1,3.72573,-3.725727227568982,0.580208
278,1,3.72573,7.451454455137964,28.1585
278,1,3.72573,-7.451454455137964,-7.49233
182,1,29.7533,0.0,56.3719
182,1,29.7533,29.753290617518505,72.9214
182,1,29.7533,-29.753290617518505,30.4079
