arm,direction,scale,n,frac_true,frac_false,frac_incoherent,hardened
stmt,jtw_stmt,-25.233582690180246,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-25.138397288129458,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-24.934066434435532,1,0.0000,1.0000,0.0000,0
stmt,jtw_stmt,-24.87194325994193,1,0.0000,1.0000,0.0000,0
stmt,jtw_stmt,-24.865323749374365,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-24.854804714187633,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-24.818012202694817,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-24.778142171739553,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-24.639148416315965,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-24.527951695276162,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-24.408557877411564,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-24.310430927888216,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-24.303646161922938,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-24.18717001111135,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-24.018697225458766,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-23.850154715071067,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-23.846223328384557,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-23.84345830146522,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-23.828767516335827,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-23.824576350703648,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-23.734904769454555,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-23.664134823839298,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-23.312979321824233,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-23.20954692070812,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-23.050033271993545,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-22.835077269488252,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-22.606133197474904,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-22.44302956910482,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-22.43774239966975,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-22.412160073082305,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-22.326679988871042,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-22.191842967517356,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-22.123653895343935,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-21.72467573150494,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-21.712797043102544,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-21.68678421453604,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-21.574837379756993,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-21.53833918083993,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-21.440890066004034,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-21.213492228967436,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-21.09979436407465,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-20.83319534188044,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-20.769394799045187,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-20.612785521916148,1,0.0000,1.0000,0.0000,0
stmt,jtw_stmt,-20.59276147766936,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-20.47760600969856,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-20.477562385957995,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-20.470113788723985,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-20.406792129692196,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-20.32931334763914,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-20.25922157414424,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-20.14901626236551,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-20.08918111908503,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-20.07343262008427,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-19.97927278888587,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-19.96468200225913,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-19.799445999811653,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-19.710440297101695,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-19.596629339786556,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-19.50318655920965,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-19.367052727758818,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-19.27817150103688,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-19.17843444669971,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-19.169027906393882,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-19.1310831973638,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-19.07070643204689,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-18.890405833539635,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-18.722336819069994,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-18.68938094325391,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-18.679163397891617,1,0.0000,1.0000,0.0000,0
stmt,jtw_stmt,-18.579671281942357,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-18.55041382533718,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-18.53897889883737,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-18.37691423977425,1,0.0000,1.0000,0.0000,0
stmt,jtw_stmt,-18.263807907771653,1,0.0000,1.0000,0.0000,0
stmt,jtw_stmt,-18.193495657172484,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-18.080411358223504,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-17.908327495013417,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-17.740014984123256,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-17.575965155687577,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-17.50533628414119,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-17.475258566183857,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-17.471120907604384,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-17.377612227081237,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-17.309892250720488,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-17.175891643299835,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-17.128020751900024,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-17.12547376904393,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-17.107653814617045,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-17.060428715617505,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-16.966322552699317,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-16.78552319677545,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-16.74300929554918,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-16.723711757654144,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-16.69196718797279,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-16.648039133828732,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-16.621608624634337,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-16.615247254241876,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-16.466112208249474,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-16.46101703208695,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-16.319399515469485,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-16.318938589104395,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-16.268145389545968,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-16.206748587937316,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-16.103404691762208,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-16.07130766498213,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-15.969122436548083,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-15.962880277033017,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-15.880478086115716,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-15.825270174556158,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-15.768543456074656,1,1.0000,0.0000,0.0000,0
