direction,scale,n_yesno,k_flip,flip_rate,k_parse_gain,k_flip_true,base_parse_rate,mean_d_margin,sd_d_margin,wilcoxon_p_raw,n_judged,k_false,k_incoh,false_rate,incoh_rate
rand_ctrl,0.4,24,0,0.0,0,0,0.0,-0.03119925,0.011790135086514525,1.1920928955078125e-07,32,2,8,0.0625,0.25
rand_ctrl,0.52,24,0,0.0,0,0,0.0,-0.034007275000000003,0.012719569048970243,1.1920928955078125e-07,32,4,8,0.125,0.25
rand_ctrl,0.66,24,0,0.0,0,0,0.0,-0.0361117125,0.013468961332999548,1.1920928955078125e-07,32,5,7,0.15625,0.21875
rand_ctrl,0.82,24,0,0.0,0,0,0.0,-0.03694210416666666,0.013828304181530663,1.1920928955078125e-07,32,8,8,0.25,0.25
rand_ctrl,1.0,24,0,0.0,0,0,0.0,-0.03732210416666667,0.014076475655302704,1.1920928955078125e-07,32,8,14,0.25,0.4375
sup_grad,-1.0,24,0,0.0,0,0,0.0,-0.030712645833333333,0.010862869672900281,1.1920928955078125e-07,32,4,10,0.125,0.3125
sup_grad,-0.82,24,4,0.16666666666666666,4,0,0.0,0.008676342583333333,0.012561447434525719,0.00433504581451416,32,1,8,0.03125,0.25
sup_grad,-0.66,24,0,0.0,0,0,0.0,0.04420311666666666,0.010836342718939764,1.1920928955078125e-07,32,0,6,0.0,0.1875
sup_grad,-0.52,24,0,0.0,0,0,0.0,0.052812483333333334,0.009223562562766914,1.1920928955078125e-07,32,1,6,0.03125,0.1875
sup_grad,-0.4,24,0,0.0,0,0,0.0,0.04018855416666667,0.007949376594424363,1.1920928955078125e-07,32,1,4,0.03125,0.125
sup_grad,-0.3,24,0,0.0,0,0,0.0,0.025478462500000004,0.005816225104923408,1.1920928955078125e-07,32,1,6,0.03125,0.1875
sup_grad,-0.22,24,0,0.0,0,0,0.0,0.015008740833333334,0.003933807413811179,1.1920928955078125e-07,32,1,6,0.03125,0.1875
sup_grad,-0.15,24,0,0.0,0,0,0.0,0.007960497499999998,0.0024362789957232266,1.1920928955078125e-07,32,1,7,0.03125,0.21875
sup_grad,-0.08,24,0,0.0,0,0,0.0,0.003131855416666667,0.001179080271054996,1.1920928955078125e-07,32,1,6,0.03125,0.1875
sup_grad,-0.04,24,0,0.0,0,0,0.0,0.001286482375,0.000563297685184834,1.1920928955078125e-07,32,1,5,0.03125,0.15625
sup_grad,-0.02,24,0,0.0,0,0,0.0,0.000579460375,0.00027650381183248946,1.1920928955078125e-07,32,1,5,0.03125,0.15625
