stmt_index,label,direction,eps,eps_frac,rel_err
185,1,dct_v_top,30.2847,0.3492,1.1201
185,1,dct_v_top,49.2313,0.5676,1.68473
185,1,dct_v_top,80.031,0.9227,1.40226
185,1,dct_v_top,130.099,1.5,1.19697
185,1,random,4.33665,0.05,0.0327712
185,1,random,7.04972,0.08128,0.0533081
185,1,random,11.4601,0.1321,0.0867577
185,1,random,18.6297,0.2148,0.141332
185,1,random,30.2847,0.3492,0.230521
185,1,random,49.2313,0.5676,0.37487
185,1,random,80.031,0.9227,0.589449
185,1,random,130.099,1.5,0.828308
223,1,jtw_mean_diff_tgt,4.33665,0.05,0.194106
223,1,jtw_mean_diff_tgt,7.04972,0.08128,0.302785
223,1,jtw_mean_diff_tgt,11.4601,0.1321,0.441928
223,1,jtw_mean_diff_tgt,18.6297,0.2148,0.590375
223,1,jtw_mean_diff_tgt,30.2847,0.3492,0.724767
223,1,jtw_mean_diff_tgt,49.2313,0.5676,0.828999
223,1,jtw_mean_diff_tgt,80.031,0.9227,0.894867
223,1,jtw_mean_diff_tgt,130.099,1.5,0.937406
223,1,mean_diff_src,4.33665,0.05,0.0662283
223,1,mean_diff_src,7.04972,0.08128,0.107074
223,1,mean_diff_src,11.4601,0.1321,0.171773
223,1,mean_diff_src,18.6297,0.2148,0.270315
223,1,mean_diff_src,30.2847,0.3492,0.406473
223,1,mean_diff_src,49.2313,0.5676,0.560347
223,1,mean_diff_src,80.031,0.9227,0.696295
223,1,mean_diff_src,130.099,1.5,0.807225
223,1,dct_v_top,4.33665,0.05,0.21421
223,1,dct_v_top,7.04972,0.08128,0.37936
223,1,dct_v_top,11.4601,0.1321,0.712771
223,1,dct_v_top,18.6297,0.2148,1.49214
223,1,dct_v_top,30.2847,0.3492,3.0656
223,1,dct_v_top,49.2313,0.5676,2.41202
223,1,dct_v_top,80.031,0.9227,1.64382
223,1,dct_v_top,130.099,1.5,1.46757
223,1,random,4.33665,0.05,0.0400147
223,1,random,7.04972,0.08128,0.0650563
223,1,random,11.4601,0.1321,0.105704
223,1,random,18.6297,0.2148,0.17151
223,1,random,30.2847,0.3492,0.277077
223,1,random,49.2313,0.5676,0.442264
223,1,random,80.031,0.9227,0.684924
223,1,random,130.099,1.5,0.97762
