direction,scale,p_flip_vs_rand,p_false_vs_rand,p_incoh_vs_base,padj_flip_vs_rand,padj_false_vs_rand,padj_incoh_vs_base,moved,coherent,clean_window,flip_rate,k_flip_true,k_parse_gain,false_rate,incoh_rate,mean_d_margin
mag_u_gold,0.66,1.8412996073602196e-08,0.8717406882028634,0.6338596181023172,1.988603575949037e-06,1.0,1.0,True,True,True,0.75,0,18,0.09375,0.15625,0.08304461666666667
mag_u_gold,0.82,0.9453900709219858,0.4999999999999999,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.041666666666666664,0,1,0.15625,0.15625,0.01069696
mag_u_gold,1.0,1.0,0.3539230358010428,0.37498016799877926,1.0,1.0,1.0,False,True,False,0.0,0,0,0.15625,0.21875,-0.02430945625
sup_grad,-1.0,0.02396181557065447,0.029805420196467244,0.7629385355581229,1.0,1.0,1.0,False,True,False,0.2916666666666667,0,7,0.3125,0.125,0.15045002916666667
sup_grad,-0.82,0.9999857571091324,0.05209780494581828,0.7629385355581229,1.0,1.0,1.0,False,True,False,0.08333333333333333,0,2,0.1875,0.125,0.07709879583333333
sup_grad,-0.66,1.0,0.5,0.49999999999999994,1.0,1.0,1.0,False,True,False,0.0,0,0,0.0625,0.1875,0.04912753875
sup_grad,-0.52,1.0,1.0,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.0,0.15625,0.013994887500000002
sup_grad,-0.4,1.0,0.753968253968254,0.7629385355581229,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.125,-0.0070282462916666675
sup_grad,-0.3,1.0,0.8809523809523809,0.7629385355581229,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.125,-0.014925242083333332
sup_grad,-0.22,1.0,0.8809523809523809,0.49999999999999994,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.1875,-0.016220007916666668
sup_grad,-0.15,1.0,0.8809523809523809,0.49999999999999994,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.1875,-0.013987262083333334
sup_grad,-0.08,1.0,0.753968253968254,0.49999999999999994,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.1875,-0.008877422083333334
sup_grad,-0.04,1.0,0.753968253968254,0.49999999999999994,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.1875,-0.004843719583333334
sup_grad,-0.02,1.0,0.753968253968254,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,-0.0025302074999999998
sup_grad,-0.01,1.0,0.753968253968254,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,-0.0012935807083333335
sup_grad,0.01,1.0,0.753968253968254,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,0.0013534070833333333
sup_grad,0.02,1.0,0.753968253968254,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,0.0027699154166666664
sup_grad,0.04,1.0,0.753968253968254,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,0.005803668333333334
sup_grad,0.08,1.0,0.753968253968254,0.49999999999999994,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.1875,0.01273374125
sup_grad,0.15,1.0,0.5,0.7629385355581229,1.0,1.0,1.0,False,True,False,0.0,0,0,0.0625,0.125,0.027855291666666667
sup_grad,0.22,0.05460992907801418,0.3064012490241998,0.8717406882028634,1.0,1.0,1.0,False,True,False,0.16666666666666666,0,4,0.09375,0.09375,0.04765547916666666
sup_grad,0.3,6.349308990897308e-10,0.3064012490241998,0.7629385355581229,7.238212249622931e-08,1.0,1.0,True,True,True,0.8333333333333334,0,20,0.09375,0.125,0.0772920875
sup_grad,0.4,3.101005612159858e-14,0.6935987509758001,0.7629385355581229,3.7212067345918295e-12,1.0,1.0,True,True,True,1.0,0,24,0.0625,0.125,0.11901899583333335
sup_grad,0.52,3.101005612159858e-14,0.9019635083819579,0.8717406882028634,3.7212067345918295e-12,1.0,1.0,True,True,True,1.0,0,24,0.0625,0.09375,0.15642770416666665
sup_grad,0.66,3.101005612159858e-14,0.8717406882028634,0.8717406882028634,3.7212067345918295e-12,1.0,1.0,True,True,True,1.0,0,24,0.09375,0.09375,0.16405198749999997
sup_grad,0.82,9.070441415567584e-11,0.7871167917013986,0.8717406882028634,1.0431007627902721e-08,1.0,1.0,True,True,True,1.0,0,24,0.09375,0.09375,0.11049034583333334
sup_grad,1.0,0.0177561045473924,0.3539230358010428,0.49999999999999994,1.0,1.0,1.0,False,True,False,0.7916666666666666,0,19,0.15625,0.1875,0.0388843225
sup_mean_diff,-1.0,1.1519460597770828e-08,0.2370614644418771,0.49999999999999994,1.267140665754791e-06,1.0,1.0,True,True,True,0.8333333333333334,0,20,0.1875,0.1875,0.08519258333333334
sup_mean_diff,-0.82,0.9792682043549683,0.3064012490241998,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.3333333333333333,0,8,0.09375,0.15625,0.06545021708333333
sup_mean_diff,-0.66,1.0,0.3064012490241998,0.8717406882028634,1.0,1.0,1.0,False,True,False,0.0,0,0,0.09375,0.09375,0.029067895
sup_mean_diff,-0.52,1.0,0.3064012490241998,0.8717406882028634,1.0,1.0,1.0,False,True,False,0.0,0,0,0.09375,0.09375,-0.0045407375
sup_mean_diff,-0.4,1.0,0.753968253968254,0.8717406882028634,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.09375,-0.018763541249999998
sup_mean_diff,-0.3,1.0,0.8809523809523809,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,-0.022533001666666667
sup_mean_diff,-0.22,1.0,0.8809523809523809,0.37498016799877926,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.21875,-0.021567901666666667
sup_mean_diff,-0.15,1.0,0.8809523809523809,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,-0.017797313333333332
sup_mean_diff,-0.08,1.0,0.753968253968254,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,-0.01124164375
sup_mean_diff,-0.04,1.0,0.753968253968254,0.49999999999999994,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.1875,-0.006167450833333333
sup_mean_diff,-0.02,1.0,0.753968253968254,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,-0.003230344916666666
sup_mean_diff,-0.01,1.0,0.753968253968254,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,-0.0016532517083333335
sup_mean_diff,0.01,1.0,0.753968253968254,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,0.001733351166666667
sup_mean_diff,0.02,1.0,0.753968253968254,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,0.0035503983333333333
sup_mean_diff,0.04,1.0,0.753968253968254,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,0.007453690833333333
sup_mean_diff,0.08,1.0,0.753968253968254,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.03125,0.15625,0.01647765125
sup_mean_diff,0.15,1.0,1.0,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.0,0.15625,0.03715839166666667
sup_mean_diff,0.22,1.0,1.0,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.0,0,0,0.0,0.15625,0.0648964375
sup_mean_diff,0.3,0.02482269503546099,0.753968253968254,0.7629385355581229,1.0,1.0,1.0,False,True,False,0.20833333333333334,0,5,0.03125,0.125,0.10026606249999999
sup_mean_diff,0.4,3.8814595723153436e-05,1.0,0.6338596181023172,0.004036717955207957,1.0,1.0,True,True,True,0.5,0,12,0.0,0.15625,0.13074055833333334
sup_mean_diff,0.52,6.349308990897308e-10,0.9019635083819579,0.7629385355581229,7.238212249622931e-08,1.0,1.0,True,True,True,0.8333333333333334,0,20,0.0625,0.125,0.12951404583333334
sup_mean_diff,0.66,1.8412996073602196e-08,0.8717406882028634,0.6338596181023172,1.988603575949037e-06,1.0,1.0,True,True,True,0.75,0,18,0.09375,0.15625,0.08863101666666666
sup_mean_diff,0.82,0.8262411347517731,0.4999999999999999,0.6338596181023172,1.0,1.0,1.0,False,True,False,0.08333333333333333,0,2,0.15625,0.15625,0.02030698083333333
sup_mean_diff,1.0,1.0,0.3539230358010428,0.37498016799877926,1.0,1.0,1.0,False,True,False,0.0,0,0,0.15625,0.21875,-0.021371995549999998
