arm,direction,scale,n,frac_true,frac_false,frac_incoherent,hardened
stmt,jtw_stmt,-5.056949488850977,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-5.04677749156757,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-5.024125919457604,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-5.005854660131547,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-4.988324966683419,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-4.9868532377178765,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-4.973786773386437,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-4.960387626258884,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-4.930343860989617,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-4.9226147946615,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-4.915132535814106,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-4.88184017186602,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-4.865578334575686,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-4.8487232405990675,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-4.8429172089588555,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-4.826346477125575,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-4.793419429323198,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-4.791224934847836,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-4.764323313936175,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-4.756791851199908,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-4.751681893724774,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-4.748761293133521,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-4.6801429554150475,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-4.66949279483518,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-4.662012776197773,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-4.658750109439183,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-4.6495514383321215,1,0.0000,1.0000,0.0000,0
stmt,jtw_stmt,-4.6363066371351165,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-4.634608535608261,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-4.626083917144776,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-4.575392508241229,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-4.562834566913394,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-4.5532447738434865,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-4.552597491107481,1,0.0000,1.0000,0.0000,0
stmt,jtw_stmt,-4.4782346529360435,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-4.446690508633588,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-4.423950489414017,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-4.413827951920011,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-4.410487834441324,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-4.375622895581618,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-4.3594014652609365,1,1.0000,0.0000,0.0000,0
stmt,jtw_stmt,-4.33323625466773,1,0.0000,0.0000,1.0000,0
stmt,jtw_stmt,-4.330715754148045,1,1.0000,0.0000,0.0000,0
