direction,eps,frac_reachable
rand_4,17.1954,1
rand_4,17.8095,1
rand_4,18.4237,1
rand_4,19.0378,1
rand_4,19.6519,1
rand_4,20.266,1
rand_4,20.8801,1
rand_4,21.4943,1
rand_4,22.1084,1
rand_4,22.7225,1
rand_4,23.3366,1
rand_4,23.9507,1
rand_4,24.5649,1
rand_4,25.179,1
rand_4,25.7931,1
rand_4,26.4072,1
rand_4,27.0214,1
rand_4,27.6355,1
rand_4,28.2496,1
rand_4,28.8637,1
rand_4,29.4778,1
rand_4,30.092,1
rand_4,30.7061,1
rand_4,31.3202,1
rand_4,31.9343,1
rand_4,32.5485,1
rand_4,33.1626,1
rand_4,33.7767,1
rand_4,34.3908,1
rand_4,35.0049,1
rand_4,35.6191,1
rand_4,36.2332,1
rand_4,36.8473,1
rand_5,0,0.0491803
rand_5,0.614122,0.067623
rand_5,1.22824,0.0942623
rand_5,1.84237,0.125
rand_5,2.45649,0.17623
rand_5,3.07061,0.233607
rand_5,3.68473,0.286885
rand_5,4.29885,0.340164
rand_5,4.91297,0.403689
rand_5,5.5271,0.459016
rand_5,6.14122,0.530738
rand_5,6.75534,0.598361
rand_5,7.36946,0.657787
rand_5,7.98358,0.704918
rand_5,8.5977,0.766393
rand_5,9.21183,0.807377
rand_5,9.82595,0.846311
rand_5,10.4401,0.866803
rand_5,11.0542,0.889344
rand_5,11.6683,0.911885
rand_5,12.2824,0.92418
rand_5,12.8966,0.940574
rand_5,13.5107,0.95082
rand_5,14.1248,0.969262
rand_5,14.7389,0.979508
rand_5,15.353,0.983607
rand_5,15.9672,0.983607
rand_5,16.5813,0.987705
rand_5,17.1954,0.991803
rand_5,17.8095,0.991803
rand_5,18.4237,0.993852
rand_5,19.0378,0.995902
rand_5,19.6519,0.997951
rand_5,20.266,1
rand_5,20.8801,1
rand_5,21.4943,1
rand_5,22.1084,1
rand_5,22.7225,1
rand_5,23.3366,1
rand_5,23.9507,1
rand_5,24.5649,1
rand_5,25.179,1
rand_5,25.7931,1
rand_5,26.4072,1
rand_5,27.0214,1
rand_5,27.6355,1
rand_5,28.2496,1
rand_5,28.8637,1
rand_5,29.4778,1
rand_5,30.092,1
rand_5,30.7061,1
rand_5,31.3202,1
rand_5,31.9343,1
rand_5,32.5485,1
rand_5,33.1626,1
rand_5,33.7767,1
rand_5,34.3908,1
rand_5,35.0049,1
rand_5,35.6191,1
rand_5,36.2332,1
rand_5,36.8473,1
rand_6,0,0.0553279
rand_6,0.614122,0.0717213
rand_6,1.22824,0.108607
rand_6,1.84237,0.155738
rand_6,2.45649,0.204918
rand_6,3.07061,0.268443
rand_6,3.68473,0.354508
rand_6,4.29885,0.438525
rand_6,4.91297,0.538934
